Gruppe,Undergruppe,Bygning,Etage,Rumnummer,Areal,Omkreds,Ejendom,Bynavn
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.001,62.14532,31.87,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,A.001a,5.998125,10.355,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.001b,3.59625,7.61,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.001c,6.077095,9.898,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.001d,19.27818,18.9792,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.001e,10.85865,13.37917,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,A.003,9.57673,12.4392,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,Stue,A.005,6.734118,10.7752,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,A.005a,1.82385,5.5844,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,A.005b,1.82385,5.5844,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,A.005c,1.82385,5.5844,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,A.006,44.18979,29.076,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,A.008,57.84639,33.01557,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,Stue,A.009,10.50107,12.9644,Thomas Manns Vej,Aalborg
OPHOLD,,Thomas Manns Vej 25,Stue,A.011,262.133,106.0815,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.012,57.63037,32.29,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.013,68.45684,37.2242,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.013a,6.843892,10.61022,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.014,60.06853,32.7064,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.014a,10.34671,13.74497,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.014b,4.759631,8.99,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,Stue,A.015,6.717147,10.4382,Thomas Manns Vej,Aalborg
PRINT,,Thomas Manns Vej 25,Stue,A.016,6.179898,10.02003,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,A.019,7.539437,11.365,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,A.-101,208.5978,70.14,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.101a,35.82558,28.14026,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.101b,33.21651,24.21151,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,A.102,21.73337,22.9508,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,A.-103,54.69,34.3,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,1. Sal,A.103,11.49664,16.9964,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.104,4.712752,8.8754,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.105,4.712752,8.8754,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.106,8.160085,11.4554,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,Kælder,A.-108,16.4879,17,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,1. Sal,A.109,6.734118,10.7752,Thomas Manns Vej,Aalborg
AFFALD,,Thomas Manns Vej 25,Kælder,A.-109,14.76,17.1,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,A.109a,1.821244,5.5794,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,A.109b,1.821244,5.5794,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,1. Sal,A.109c,1.821244,5.5794,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Kælder,A.-110,8.623968,11.93997,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.110,85.29754,42.02017,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,1. Sal,A.110a,9.40033,14.1192,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.110b,4.914962,9.02,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.111,5.032495,9.2096,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.112,5.03325,9.2102,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,A.113,57.45071,32.6962,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,A.115,10.80296,13.4196,Thomas Manns Vej,Aalborg
PRINT,,Thomas Manns Vej 25,1. Sal,A.117,7.874568,11.9654,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,1. Sal,A.118,22.37528,20.28207,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,A.119,49.56209,33.08827,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,A.119a,9.490142,12.53783,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,1. Sal,A.120,44.64325,31.5572,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,1. Sal,A.120a,9.488025,12.53623,Thomas Manns Vej,Aalborg
LABORATORIUM,,Thomas Manns Vej 25,1. Sal,A.121,96.67445,45.2882,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,1. Sal,A.121a,12.02242,16.216,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,1. Sal,A.125,38.71098,50.56143,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,1. Sal,A.126,41.02786,51.84828,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,1. Sal,A.127,16.28936,18.23,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,A.201,113.5645,57.2307,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.201a,9.483888,12.53093,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.201b,9.481773,12.52933,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.202,28.50161,24.24253,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,2. Sal,A.205,6.646995,10.7242,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,A.205a,1.860848,5.6554,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,A.205b,1.862411,5.6584,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,A.205c,1.862411,5.6584,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,A.206,110.1582,55.12818,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.207,9.480325,12.52853,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,A.209,58.90167,34.0312,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,2. Sal,A.211,5.010024,8.972,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.212,5.041314,9.0314,Thomas Manns Vej,Aalborg
PRINT,,Thomas Manns Vej 25,2. Sal,A.213,9.279906,13.69,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,2. Sal,A.214,22.44459,20.08455,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,2. Sal,A.215,93.82706,108.2273,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,A.216,48.37359,31.41437,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,2. Sal,A.217,46.5247,28.4524,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,2. Sal,A.218,73.92304,47.60395,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.218a,9.4866,12.63093,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,2. Sal,A.218b,9.484486,12.62933,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,3. Sal,A.301,164.2896,55.83937,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,3. Sal,A.302,39.18628,27.2212,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,3. Sal,A.305,6.734118,10.7752,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,3. Sal,A.305a,1.821244,5.5794,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,3. Sal,A.305b,1.821244,5.5794,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,3. Sal,A.305c,1.821244,5.5794,Thomas Manns Vej,Aalborg
OPHOLD,,Thomas Manns Vej 25,3. Sal,A.306,138.6406,53.84324,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,3. Sal,A.307,57.95515,33.3723,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,3. Sal,A.309,5.045976,9.004,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,3. Sal,A.310,5.022596,9.016445,Thomas Manns Vej,Aalborg
STILLERUM,,Thomas Manns Vej 25,3. Sal,A.311,9.279906,13.69,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,3. Sal,A.312,89.4515,99.47107,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,3. Sal,A.313,39.24841,28.41437,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,3. Sal,A.314,36.33628,25.602,Thomas Manns Vej,Aalborg
MØDE,,Thomas Manns Vej 25,3. Sal,A.315,78.21412,39.6054,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,3. Sal,A.319,22.40744,20.08207,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,B.001,28.55559,22.075,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,B.002,28.9386,22.3484,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,Stue,B.003,18.49703,17.81962,Thomas Manns Vej,Aalborg
FORRUM,,Thomas Manns Vej 25,Stue,B.004,13.83206,18.1926,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,B.004a,9.766047,12.8824,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,B.004b,1.7835,5.567,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,B.004c,1.79,5.58,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,B.004d,1.789105,5.579,Thomas Manns Vej,Aalborg
TOILET,,Thomas Manns Vej 25,Stue,B.004e,1.789105,5.579,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,Stue,B.007,57.17517,32.80238,Thomas Manns Vej,Aalborg
OPHOLD,,Thomas Manns Vej 25,Stue,B.008,347.9663,126.9,Thomas Manns Vej,Aalborg
GANG,,Thomas Manns Vej 25,Stue,B.009,31.01405,22.81475,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Stue,B.010,2.812282,9.759334,Thomas Manns Vej,Aalborg
GRUPPE,,Thomas Manns Vej 25,Stue,B.011,51.63634,31.6274,Thomas Manns Vej,Aalborg
TEKNIK,,Thomas Manns Vej 25,Stue,B.013,17.12287,18.75,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,B.015,67.70406,37.335,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,B.015a,6.4047,10.21,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,B.015b,5.964,9.86,Thomas Manns Vej,Aalborg
AFFALD,,Thomas Manns Vej 25,Stue,B.015c,6.306354,10.545,Thomas Manns Vej,Aalborg
LAGER,,Thomas Manns Vej 25,Stue,B.015d,6.1918,10.085,Thomas Manns Vej,Aalborg
KØKKEN,,Thomas Manns Vej 25,Stue,B.015e,10.24718,13.95006,Thomas Manns Vej,Aalborg
KONTOR,,Thomas Manns Vej 25,Stue,B.015f,5.597517,9.6232,Thomas Manns Vej,Aalborg
